Periodo,Total nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2000,410959.44,4228.043,11933.368999999999,2650.103,3467.759,10154.457,4619.23,20972.362999999998,19884.613,1418.524,13717.601,18212.111,10515.755,9139.318000000001,39737.095,17362.387,32076.467999999997,4475.274,7878.304,6295.642,13293.419,17890.166,5188.017,1302.383,7014.596,29754.695,20091.445,7156.31,12352.481000000002,2834.255,39024.894,7211.523,9106.846
2001,432955.92299999995,5029.187,11811.96,2853.824,3042.2470000000003,10082.323,4308.423,20265.995,22085.132,1527.01,14768.587,21171.902000000002,9908.767,9424.246,44263.78,20136.548,33031.34,4865.929,8156.154,7297.309,13544.446000000002,18961.737,6136.075,1276.943,7838.793000000001,31470.619,22673.513,7705.974,11233.343,3211.7340000000004,38569.441,6813.076,9489.572
2002,429031.052,5095.085999999999,11566.077,2936.138,2433.371,10109.888,4669.59,20962.529,20679.578999999998,1434.819,14647.624,21562.37,9547.413,9190.895,46064.621,18632.346999999998,31720.781000000003,4821.431,7831.3769999999995,7687.871999999999,12477.375,17603.421000000002,6497.471,1328.11,8256.864,30214.882999999998,22233.966,8172.2080000000005,10700.964,2458.856,39119.219,6867.901999999999,11506.008
2003,445468.034,5262.297,11067.628,3448.593,3010.18,11281.167,4467.823,21940.471,21364.726000000002,1513.951,17491.936999999998,21768.244,10982.639,10032.916,45266.922999999995,19512.859,32803.547,5113.053,6334.566,7729.585999999999,11682.515,18753.415,6498.753000000001,1517.316,9115.138,29402.89,24566.362,7782.003000000001,14656.871000000001,3334.045,39098.009,7195.134,11472.476999999999
2004,455970.664,5186.673,12588.133999999998,3209.62,3500.1409999999996,12051.455,4604.776,20617.682,22263.946,1364.2379999999998,18053.12,23298.8,10455.419,10025.754,48731.225,20341.808999999997,30908.902000000002,5235.684,7249.249,7384.516,11837.133999999998,19165.917,6309.11,1648.1789999999999,9253.648000000001,34594.54,22402.721,8729.628,16375.782,2770.4120000000003,37761.426,8309.648000000001,9741.376
2005,439348.68299999996,5587.146,12935.505,3687.31,3295.505,13495.313,4458.715,18740.146,22405.672000000002,1500.58,15834.756000000001,20878.186999999998,10817.27,9928.484,46693.767,17816.53,30183.248,5697.548000000001,7111.632,6856.09,11404.286,19391.578,5559.968000000001,1756.109,9352.101999999999,32781.305,24960.046000000002,7684.964,14853.59,3052.572,34803.5979999999,7820.443,8004.718000000001
2006,466935.89200000005,5752.838000000001,12500.92,3414.949,3859.8559999999998,12459.641000000001,4666.687,19719.962,24744.761000000002,1311.5910000000001,17864.576,20307.976000000002,11488.758,10950.176000000001,50078.72,19393.066000000003,34472.557,5724.729,7071.672,6813.11,12589.966,20228.143,5959.255,1972.215,9480.871,37268.739,23896.859,8277.707,15124.652,3226.241,36684.161,8406.84,11223.698
2007,486682.223,6041.206999999999,11854.491000000002,3353.1609999999996,2934.92,12894.454,4866.399,20309.058999999997,26362.801,1293.484,17451.155,21992.043999999998,11576.74,10667.766000000001,53074.537000000004,22297.792,36053.211,5983.812,7689.549,7527.158,12712.193000000001,21332.959,6741.911999999999,1596.014,9783.812,40423.406,27050.252,7384.184,16633.801,3000.407,37075.337,8746.538,9977.668
2008,486464.961,6566.041,11634.056999999999,3265.225,3321.3909999999996,12417.341,5061.178,19961.21,24549.046000000002,1218.942,17530.643,22505.655,12013.442,10899.583,53142.477999999996,20584.935,38699.199,5229.43,8259.985999999999,6888.669,13085.15,21285.441000000003,6520.043000000001,1337.6029999999998,10156.886,39832.299,27929.827,7262.804,16693.497,3584.6740000000004,36824.357,7817.634,10386.295
2009,476156.112,6216.043000000001,13217.606000000002,3082.843,3543.657,13485.376,4162.321,20026.696,25320.964,1312.4679999999998,18054.631999999998,22648.509,11609.041000000001,10097.418,50839.069,17579.481,35964.263999999996,5614.585,7374.004,7210.986,13283.059,19981.701,6394.13,1588.44,9398.953000000001,37419.257000000005,28031.463,7017.1140000000005,16254.413,3185.4640000000004,37917.135,8200.144,10124.876
