Periodo,Total nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2000,4696501.735,39844.119,231660.956,19813.539,820858.474,213823.798,22474.599,82489.326,160332.962,292565.812,44786.227999999996,133303.85,24201.923,67862.15,298815.472,384199.5,69064.1,51418.394,12953.921999999999,291480.976,52111.779,125882.245,91252.239,18283.975,79678.547,76105.364,217610.33,284930.026,163849.256,39804.856,221761.629,40933.339,22348.055
2001,4593954.783,42482.867,201011.12399999998,23062.611,885628.3709999999,212343.833,21402.64,80547.55099999999,142816.014,291513.19899999996,47680.78,129629.931,27532.767000000003,66262.885,275519.387,368030.33,62554.555,54089.240999999995,14169.97,287741.086,51989.044,127798.485,89278.905,19760.308,74950.19099999999,62898.965,198356.58899999998,271809.977,146388.33800000002,41809.587,208625.03699999998,41570.504,24699.712000000003
2002,4524900.909,44458.078,183440.527,20871.223,910226.177,227763.08899999998,21652.033,81168.72099999999,136894.759,299108.473,46907.862,140206.468,28893.953999999998,65251.703,265074.978,348426.03799999994,60285.835999999996,49685.255999999994,13380.156,290069.409,54935.005,123374.064,83407.931,18017.013,73315.621,53701.437000000005,173853.358,247742.708,152724.655,39383.789,204359.90300000002,38859.387,27461.302000000003
2003,4604522.23,43925.787000000004,171695.068,21687.382999999998,987337.433,241604.35100000002,19339.0979999999,81794.783,139939.229,287794.358,50110.117,149363.013,28001.112,65078.822,256279.69100000002,333112.582,62920.685,53199.83900000001,12816.746000000001,303749.70399999997,54970.524000000005,128316.879,82772.045,18094.012,76821.585,54453.244000000006,153963.981,246556.34600000002,159938.238,36489.62,211686.515,41180.89,29528.55
2004,4781935.701,46551.130999999994,185061.62399999998,23371.647,995877.7059999999,245449.52399999998,18046.508,68697.106,148417.154,297595.98699999996,50705.738,153284.384,30731.83,74253.757,257616.37300000002,337044.492,67431.774,52038.303,20621.012,322967.946,56426.537000000004,129721.293,90154.034,20410.3479999999,83296.495,61843.431,167916.813,257398.454,170067.117,42524.514,230022.363,42280.617999999995,34109.687999999995
2005,4884760.028,47602.807,185575.038,23290.563,972612.473,246635.079,16966.626,67797.588,153423.304,299594.705,47611.223,153069.946,31416.523999999998,71022.17599999999,270439.665,340528.528,67491.648,60804.927,22020.459,342797.19200000004,54197.605,147165.657,96990.245,25215.709,88270.713,58720.154,179740.87,282578.432,190489.0,31010.406000000003,230152.957,45805.503,33722.306000000004
2006,5086479.816000001,53051.356,200378.652,24919.818,945550.348,260161.326,18476.503,73137.71,167674.674,329315.63,48037.634000000005,164007.543,33701.241,70076.38900000001,289305.50800000003,348648.686,69989.451,54497.191,21054.208,368939.25299999997,54586.496,155027.544,100791.98800000001,27847.641,92615.879,59590.343,199852.80399999997,300337.281,196103.52899999998,26499.224,247922.098,50014.850999999995,34367.017
2007,5133607.8780000005,60930.738,199964.956,31602.2,878777.8879999999,272421.484,20895.005,69330.66900000001,173214.59699999998,319063.923,48728.858,163302.611,37045.71,74125.087,297560.385,351911.72799999994,73824.211,55524.17,20576.558999999997,392755.054,54440.609000000004,163319.387,103663.741,27856.0,92883.101,66000.468,198602.06399999998,306777.842,202936.104,27399.417,258176.923,52509.467000000004,37486.922
2008,5079733.56,58002.397000000004,194805.80899999998,34943.323,795328.554,267058.753,20810.208,74678.646,172747.00199999998,306961.04600000003,49537.434,166996.143,39942.722,75881.564,287315.605,348496.19299999997,73008.125,56967.155999999995,22933.924,391188.157,58286.944,163704.33,102606.649,29338.494,96216.144,73288.457,193866.043,323711.461,219839.068,28932.571,254258.264,51665.955,46416.419
2009,4699986.664,55708.956,158703.06,37856.568,711627.949,199970.038,20611.686999999998,75768.908,151840.34,297600.00800000003,49546.625,157349.272,36614.763,69870.73599999999,264119.718,322571.924,60790.66,60724.166,20239.988999999998,361886.21,61021.765999999996,140226.894,99340.845,26522.353,91221.121,70805.22099999999,173918.607,350470.786,190057.63199999998,29194.251,249469.854,52441.102999999996,51894.654
2010,4913184.23,60666.425,165601.271,33633.028,681558.808,252720.22,21972.852000000003,84566.69099999999,154263.031,283406.687,50604.067,169926.764,38657.263999999996,70683.702,283245.13899999997,357699.011,66485.293,62962.832,20077.607,392824.53,59466.75,158684.715,107725.094,23191.02,95900.704,72667.116,179471.68399999998,373455.023,185238.668,34176.212999999996,257279.004,52907.431,61465.585999999996
2011,5053169.757,62344.234000000004,164846.857,34057.864,650719.507,274893.522,24938.551,85043.29800000001,155271.109,297198.11199999996,55425.117999999995,182392.259,38047.191,72819.796,289495.55199999997,371542.845,66962.787,58397.593,20061.298,401705.249,62519.185,169474.253,116821.677,24080.554,103786.45800000001,72556.47099999999,208191.03100000002,390965.10299999994,183129.48899999997,30452.286,269809.359,54251.873,60969.276
2012,5196909.908,66713.275,169744.725,32288.743,636346.779,291311.57300000003,25347.492000000002,85582.32699999999,176407.669,306702.268,56363.727,191930.408,39336.803,74831.688,301333.24600000004,377182.26200000005,67719.208,54868.363,20655.25,410827.732,63785.017,186368.82100000003,120843.314,23594.318,112441.671,69291.384,218906.577,396940.424,183669.349,31934.601000000002,284936.904,58652.639,60051.350999999995
2013,5185312.409,69596.84,170405.104,30272.174,640980.907,276370.022,25359.659,76769.782,186862.407,290198.067,59411.167,206339.715,41978.60400000001,75661.767,310653.507,382416.135,68417.837,55777.992999999995,21059.554,407371.037,68077.11,172755.59100000001,119646.255,25476.781000000003,117201.817,68644.477,228563.888,381269.55299999996,184994.25199999998,28331.63,284598.411,54505.899000000005,55344.467000000004
