Periodo,Total nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2000,100.0,0.8834451919142832,2.8825177210606934,0.651824335514655,0.721953843545916,2.3657542027431826,0.5895622357857162,1.9211300080358034,2.634069891201619,25.65275672088328,1.0844209845345474,3.46813701872793,2.036770858344295,1.428888485917495,6.663606363163596,8.988531029057663,2.64812816007811,1.2843892320625339,0.7866265334795348,6.2551853990874315,1.8434593540042998,3.3240544178337252,1.5996373397021337,1.5328560614056543,1.7640955788066237,2.410570932606545,2.5075627943721828,1.598715619395393,2.771793389318594,0.570141573793988,4.859715438218004,1.4990795037561455,0.7706198497957872
2001,100.0,0.9112694258794471,2.8304082775120283,0.6547179603167287,0.7385804920143487,2.3692778285196354,0.5872998576726152,1.9259221721642863,2.5973677268740554,25.208179753908546,1.1007598292631082,3.4942629525071807,2.0108805091671664,1.4143466275987469,6.664542670316856,9.217370054271983,2.61974122569739,1.3091735131445668,0.7957129438149187,6.236745308303228,1.8534649246717712,3.3503053563988585,1.5963041183808115,1.5999206032862066,1.7864717194717474,2.474834990380679,2.5369263948880616,1.6019661481832999,2.769836692730243,0.5743712488168686,4.8666212165828675,1.5283466512444932,0.7740708875271438
2002,100.0,0.9479425928334126,2.8058083809630037,0.6496908368346567,0.737119808287028,2.4240093940555933,0.581708544108796,1.9403071496073763,2.607053873469423,25.146958962946997,1.118036216610185,3.559270921861872,1.9603594244603162,1.4086826440878581,6.620813982214094,9.179996969956274,2.5981430860091357,1.3024758429819434,0.7772851196055932,6.390494597997442,1.818313520005677,3.300536218646345,1.6438980649266446,1.604780379693457,1.7955729208581677,2.4704386054818603,2.424598547378589,1.5963182073934927,2.855807889267968,0.5746954527780201,4.830283467208619,1.5331057685967586,0.7954926896734178
2003,100.0,0.9589618887935374,2.8865176670944455,0.6779975767082722,0.761257615872952,2.4462004196486062,0.5849691958608535,1.922836114198051,2.6517467220023456,24.551775935192335,1.1362280938183307,3.5586501717358456,1.91407685282757,1.3908648556072722,6.570823793436238,9.265781107454654,2.6467043967024173,1.3282915954084458,0.7584633451364163,6.557487068477257,1.8152724916384189,3.3137988641657867,1.6358241519365473,1.659605609880446,1.8423415540943087,2.4555614696539654,2.490351881541034,1.605422965740394,2.889546013354565,0.5783707084608553,4.831537168069208,1.508306566472495,0.8044261390161187
2004,100.0,0.9576147675045903,2.8844497989368403,0.703523408398614,0.7703169882034647,2.452940983766739,0.5778066474756577,1.9079135227941844,2.6364689017811678,24.677378675506148,1.1379229100586652,3.5118093915577533,1.9374738810028866,1.373007515590833,6.564765133296395,9.170288075476376,2.594223111569297,1.3114522242878655,0.7552901107670543,6.6492213613909295,1.823851507729073,3.28974712751804,1.6825523949370653,1.7264412620860778,1.8548366467218975,2.4091378223369055,2.485219989849576,1.6014137563868114,2.862871131414326,0.5695130192025333,4.813595953692305,1.5157660703210163,0.791185908438907
2005,100.0,0.952664011177479,2.9225938269476868,0.7530248003308432,0.7805186482418158,2.4769079835061834,0.5836875363827906,1.9161171142816724,2.659423051250608,24.390461731436293,1.141080771717658,3.498142548724966,1.9066982903098866,1.3600246769523876,6.543129265266151,9.235636376603814,2.5967291140204734,1.305858020214228,0.7619728762838414,6.677608879135841,1.8454943301956892,3.260651450725977,1.7543340405430259,1.7038439319385714,1.864715683078352,2.4204434966476716,2.494890193898048,1.6303918614028527,2.8808516350952105,0.5635403911109517,4.7852486803643774,1.5364865241572216,0.7968282580574354
2006,100.0,0.9466212886022473,2.9021323893477473,0.7796741966992928,0.774294503222835,2.4811174506416753,0.5895295228625699,1.8567345840237262,2.712019226731741,24.398465782258693,1.1277898241129576,3.5012237892235314,1.8423399361266457,1.365223279454101,6.524559362373639,9.341885698896002,2.5780644784073594,1.2885688929623964,0.7643836394401867,6.816516253221828,1.8005214667303797,3.245962681721083,1.810666110349752,1.7252950279159323,1.8686236959835967,2.3644469888344064,2.4573443711674376,1.6315964369879827,2.845332638162065,0.5748943989943639,4.773843814943425,1.516369010048496,0.793959259551904
2007,100.0,0.9651551028272183,2.892712422137236,0.8251404720428022,0.7628139549716371,2.4919895786641706,0.5995358136922647,1.8866491912666157,2.722582600633077,24.185387410977913,1.1179967855799933,3.5143482766198635,1.8097547956222249,1.3534886316247208,6.514866446967546,9.386524961955686,2.5294227941541276,1.2487283513036234,0.7343976065285065,6.999561294114274,1.7681200201982168,3.256436254938625,1.8671895651484833,1.8930886259245345,1.8721966450908412,2.3070957393870644,2.4292425002336726,1.6205034231838653,2.831051400100971,0.5631082763239655,4.752699132766585,1.5051939926081936,0.7930179324114902
2008,100.0,0.9775474122566102,2.8417931084917747,0.8008413143578341,0.7761064687736763,2.4766507346233144,0.6007127483723386,1.8519658018666638,2.7555620226185398,24.24259752187567,1.1164404842724636,3.548017470081713,1.7691125356915212,1.3808451964485335,6.542313949836334,9.382196246469402,2.52304786069275,1.2162645210090406,0.7593338862375991,7.0422209104435005,1.7570381059372147,3.213691314139016,1.9150183947367554,1.9503349848173732,1.8519764508092698,2.3002173447148917,2.4321836247224735,1.6321803176429883,2.7931474485719257,0.5740871553027358,4.676384226875115,1.5127500158745066,0.7874204214364506
2009,100.0,0.9599276197328046,2.783451737542178,0.7955168141781349,0.7741111192119077,2.4535193319317137,0.609896444526372,1.8991393014868887,2.642908313093853,24.35676950197085,1.1269810518033425,3.5607026975079745,1.8060459384812946,1.3645828176972779,6.554931748928504,9.425618677603122,2.599594078880375,1.2040218402691334,0.7722070669956208,6.888582839252908,1.7728837812862317,3.2147909197197686,1.9424996619227044,1.859695892981701,1.8321350502261913,2.299721452512952,2.4600360890029176,1.634202708966292,2.7551480359889533,0.5825951384911753,4.740028879379942,1.5193351015337528,0.8084183468931694
2010,100.0,0.949838889212674,2.784412310666936,0.8179718813110856,0.7615833400734355,2.4979296034519636,0.6201227669682831,1.850762793151634,2.6398911603705595,24.155541300312112,1.130976365951971,3.6328138866919,1.796999054517505,1.3999908990621768,6.550244505030614,9.495821199264864,2.562321496286966,1.186420741949916,0.7833012743817761,6.978230047900161,1.7344337461638555,3.2433706382093948,1.9283534153485542,1.8994989976750465,1.8238233392955814,2.3050299106780976,2.4957813856642814,1.613291885181638,2.742032771180045,0.570590902642506,4.732963571492327,1.5049234915454044,0.8107324283667443
2011,100.0,0.9588574997720325,2.8084103730612417,0.8231589311847244,0.7696052949614307,2.514278563648973,0.6223763189773656,1.8560351704228866,2.637859253397275,23.8987403998569,1.1203762540302622,3.6733450179869993,1.755057344446833,1.4188884068727725,6.5321416574454085,9.576258315619986,2.5468373715792674,1.1860463898508329,0.7715137592263205,7.07067056794235,1.7033475726548821,3.2510849236258834,1.9825860518890264,1.9243443088775558,1.8284100277675401,2.305393227036717,2.5178324526049485,1.6246881659009806,2.7590198764253384,0.5691564592525276,4.693828160856308,1.49621253656411,0.8036393462603079
2012,100.0,0.9629744846684585,2.805054413420404,0.833742101555004,0.7645484234273592,2.516363968113367,0.6257254545790297,1.8344424550434106,2.6399079215671026,23.89310056817399,1.1138247372423309,3.668523856536353,1.7150662267428938,1.413089417576401,6.537920874616088,9.689098960362164,2.532218294147286,1.187789803733133,0.7375312794367803,7.150655109432128,1.6639490484615451,3.2433844565361936,1.9496735272478212,1.9541381017608113,1.800716158033079,2.3097721199919965,2.5266177369111227,1.637161847927696,2.742985161017939,0.5591043099642267,4.682367958399504,1.5114015144477515,0.7971497089266237
2013,100.0,0.9646985467388526,2.82451694046475,0.8141956674330736,0.764827120592387,2.4991562737738993,0.6199506277412642,1.8437162289178626,2.617018967350506,23.94506578574819,1.1142739147450822,3.666937850297182,1.6680516774171847,1.4538912647837174,6.539533232865188,9.680224824572681,2.528650316723945,1.2094031308288593,0.7510538281358636,7.146114241770457,1.638103249040131,3.260663198693868,1.9351956829104295,1.9888166419422415,1.801551422877295,2.3029528977392593,2.5316628232358784,1.6565173353460454,2.753489827469402,0.5639236126667547,4.584655899726268,1.5340936355679895,0.797093331883493
2014,100.0,0.9870430861913251,2.7735234221026213,0.7993320134532735,0.7687513199471261,2.4570311083318517,0.6315094199533413,1.887629859033839,2.585992453606225,23.77838643581825,1.1071357151101826,3.621862503831715,1.6774468184065503,1.4580833188146098,6.5379135049601755,9.892862511757633,2.5949123093424125,1.1813270383052525,0.7583241941309156,7.195563619436991,1.6219622160268214,3.2175728341019534,1.9822789812478263,1.994029659261756,1.790561291785284,2.299013291425292,2.531107186748726,1.6338980612965404,2.7054769724174292,0.5574817290661297,4.646256953420464,1.520567729199163,0.8051624414683274
2015,100.0,0.999386751386405,2.8052409921839,0.8145945441980598,0.7450006038578638,2.4554956733705096,0.6176306785502895,1.8276668047575697,2.614448025618239,23.992163109687002,1.0944276904064938,3.6598586662210204,1.6728012905083085,1.4657805544599314,6.4847638140542205,9.76833017276694,2.592042443249154,1.1824507987165702,0.7827403652967737,7.14616124078689,1.6328248570292587,3.166760792068329,2.037133402393683,2.037174594012805,1.802473775659105,2.3129866115444937,2.4540016059065146,1.6189673857627367,2.7053448716983444,0.5545085944400727,4.634408374278224,1.5340810028096727,0.7883499123206281
